id,label,labels,label_pred,pred_stereotype
s_1087,0,0,0,not stereotype
s_3647,0,0,0,not stereotype
s_1105,0,0,0,not stereotype
s_1766,0,0,0,not stereotype
s_1995,0,0,0,not stereotype
s_2675,0,0,0,not stereotype
s_3829,0,0,0,not stereotype
s_3107,0,0,0,not stereotype
s_2328,0,0,0,not stereotype
s_1814,0,0,0,not stereotype
s_2959,0,0,0,not stereotype
s_1687,0,0,0,not stereotype
s_3355,0,0,0,not stereotype
s_2735,0,0,0,not stereotype
s_38,0,0,0,not stereotype
s_101,0,0,0,not stereotype
s_852,1,1,1,stereotype
s_533,1,1,1,stereotype
s_3590,0,0,0,not stereotype
s_1770,0,0,0,not stereotype
s_278,1,1,0,not stereotype
s_502,1,1,1,stereotype
s_4181,0,0,0,not stereotype
s_934,0,0,0,not stereotype
s_1361,0,0,1,stereotype
s_3617,0,0,0,not stereotype
s_1293,0,0,0,not stereotype
s_3640,0,0,0,not stereotype
s_2915,0,0,0,not stereotype
s_2012,0,0,0,not stereotype
s_2432,0,0,0,not stereotype
s_4112,1,1,1,stereotype
s_3065,0,0,0,not stereotype
s_4124,1,1,1,stereotype
s_4082,1,1,1,stereotype
s_2923,0,0,0,not stereotype
s_2167,0,0,0,not stereotype
s_4155,0,0,0,not stereotype
s_412,0,0,0,not stereotype
s_391,1,1,1,stereotype
s_537,1,1,1,stereotype
s_2339,0,0,0,not stereotype
s_139,0,0,0,not stereotype
s_2647,0,0,0,not stereotype
s_3373,0,0,1,stereotype
s_661,0,0,0,not stereotype
s_3963,1,1,0,not stereotype
s_1298,1,1,1,stereotype
s_3426,0,0,0,not stereotype
s_2798,0,0,0,not stereotype
s_2770,0,0,0,not stereotype
s_4216,0,0,0,not stereotype
s_3495,0,0,0,not stereotype
s_2930,0,0,0,not stereotype
s_649,1,1,1,stereotype
s_2234,0,0,1,stereotype
s_3834,0,0,0,not stereotype
s_2935,0,0,0,not stereotype
s_3197,0,0,0,not stereotype
s_3,0,0,0,not stereotype
s_3144,0,0,0,not stereotype
s_1215,0,0,1,stereotype
s_4140,0,0,0,not stereotype
s_285,1,1,1,stereotype
s_1040,0,0,0,not stereotype
s_2833,0,0,0,not stereotype
s_1438,0,0,0,not stereotype
s_2493,0,0,0,not stereotype
s_1974,0,0,0,not stereotype
s_99,1,1,0,not stereotype
s_4107,0,0,1,stereotype
s_687,1,1,1,stereotype
s_2365,0,0,0,not stereotype
s_735,0,0,0,not stereotype
s_2023,0,0,0,not stereotype
s_203,0,0,0,not stereotype
s_2047,0,0,0,not stereotype
s_2053,0,0,0,not stereotype
s_2324,0,0,0,not stereotype
s_1659,1,1,1,stereotype
s_1390,1,1,1,stereotype
s_2086,0,0,0,not stereotype
s_3954,1,1,1,stereotype
s_2272,0,0,0,not stereotype
s_102,0,0,0,not stereotype
s_3255,0,0,1,stereotype
s_2360,0,0,0,not stereotype
s_883,1,1,1,stereotype
s_185,0,0,0,not stereotype
s_3017,0,0,0,not stereotype
s_2081,0,0,0,not stereotype
s_3799,1,1,0,not stereotype
s_1499,1,1,1,stereotype
s_3724,1,1,0,not stereotype
s_1589,1,1,1,stereotype
s_2787,0,0,0,not stereotype
s_961,1,1,1,stereotype
s_1271,0,0,1,stereotype
s_1701,1,1,1,stereotype
s_2461,0,0,0,not stereotype
s_1781,0,0,0,not stereotype
s_1665,1,1,0,not stereotype
s_2452,0,0,0,not stereotype
s_1653,0,0,0,not stereotype
s_3910,0,0,0,not stereotype
s_2166,0,0,0,not stereotype
s_3577,0,0,0,not stereotype
s_3375,0,0,1,stereotype
s_1987,0,0,0,not stereotype
s_4150,1,1,0,not stereotype
s_1251,1,1,1,stereotype
s_3451,0,0,0,not stereotype
s_429,0,0,0,not stereotype
s_1601,1,1,1,stereotype
s_3801,0,0,0,not stereotype
s_3830,0,0,0,not stereotype
s_833,0,0,0,not stereotype
s_2109,0,0,0,not stereotype
s_2174,0,0,0,not stereotype
s_1757,0,0,0,not stereotype
s_1899,0,0,0,not stereotype
s_2269,0,0,0,not stereotype
s_469,0,0,0,not stereotype
s_1797,0,0,0,not stereotype
s_2846,0,0,0,not stereotype
s_1723,0,0,0,not stereotype
s_4039,1,1,1,stereotype
s_1312,0,0,0,not stereotype
s_4228,1,1,0,not stereotype
s_2873,0,0,0,not stereotype
s_1214,1,1,0,not stereotype
s_944,1,1,0,not stereotype
s_76,0,0,0,not stereotype
s_2397,0,0,0,not stereotype
s_1857,0,0,0,not stereotype
s_1794,0,0,0,not stereotype
s_186,0,0,0,not stereotype
s_1357,1,1,1,stereotype
s_390,1,1,1,stereotype
s_1086,0,0,1,stereotype
s_3874,0,0,0,not stereotype
s_3997,0,0,0,not stereotype
s_2230,0,0,0,not stereotype
s_375,1,1,0,not stereotype
s_3776,1,1,1,stereotype
s_2429,0,0,0,not stereotype
s_2642,0,0,0,not stereotype
s_1022,1,1,1,stereotype
s_4246,0,0,0,not stereotype
s_1049,1,1,0,not stereotype
s_3990,0,0,0,not stereotype
s_530,1,1,1,stereotype
s_4070,1,1,1,stereotype
s_4269,1,1,1,stereotype
s_2519,0,0,0,not stereotype
s_4258,1,1,1,stereotype
s_2979,0,0,0,not stereotype
s_706,1,1,1,stereotype
s_1807,0,0,0,not stereotype
s_3741,0,0,1,stereotype
s_3550,0,0,0,not stereotype
s_1487,0,0,0,not stereotype
s_1767,0,0,0,not stereotype
s_58,0,0,0,not stereotype
s_85,0,0,0,not stereotype
s_3905,0,0,0,not stereotype
s_21,1,1,1,stereotype
s_77,0,0,0,not stereotype
s_3824,1,1,1,stereotype
s_2849,0,0,0,not stereotype
s_1902,0,0,0,not stereotype
s_2532,0,0,0,not stereotype
s_3610,1,1,1,stereotype
s_173,0,0,0,not stereotype
s_1138,1,1,0,not stereotype
s_1981,0,0,0,not stereotype
s_927,0,0,0,not stereotype
s_2478,0,0,0,not stereotype
s_863,0,0,0,not stereotype
s_3359,0,0,0,not stereotype
s_563,1,1,1,stereotype
s_2928,0,0,0,not stereotype
s_3511,0,0,0,not stereotype
s_3093,0,0,0,not stereotype
s_247,1,1,1,stereotype
s_2633,0,0,0,not stereotype
s_2880,0,0,0,not stereotype
s_859,1,1,1,stereotype
s_406,0,0,0,not stereotype
s_443,0,0,0,not stereotype
s_3924,0,0,0,not stereotype
s_865,1,1,1,stereotype
s_3685,0,0,1,stereotype
s_27,0,0,0,not stereotype
s_3519,0,0,0,not stereotype
s_499,1,1,1,stereotype
s_3575,0,0,0,not stereotype
s_573,1,1,1,stereotype
s_327,1,1,1,stereotype
s_1119,0,0,0,not stereotype
s_2221,0,0,0,not stereotype
s_2882,0,0,0,not stereotype
s_1747,1,1,1,stereotype
s_1604,1,1,0,not stereotype
s_1368,0,0,0,not stereotype
s_1705,1,1,1,stereotype
s_1809,0,0,0,not stereotype
s_2997,0,0,0,not stereotype
s_2907,0,0,0,not stereotype
s_724,0,0,0,not stereotype
s_1647,0,0,1,stereotype
s_2622,0,0,0,not stereotype
s_3488,0,0,0,not stereotype
s_2515,0,0,0,not stereotype
s_4,0,0,1,stereotype
s_1425,0,0,0,not stereotype
s_1033,0,0,0,not stereotype
s_3037,0,0,0,not stereotype
s_4019,1,1,1,stereotype
s_2067,0,0,0,not stereotype
s_1182,1,1,1,stereotype
s_3046,0,0,0,not stereotype
s_2676,0,0,0,not stereotype
s_3592,0,0,0,not stereotype
s_1160,1,1,0,not stereotype
s_4143,0,0,0,not stereotype
s_1384,1,1,1,stereotype
s_2085,0,0,0,not stereotype
s_1513,0,0,0,not stereotype
s_2417,0,0,0,not stereotype
s_3189,0,0,0,not stereotype
s_1917,0,0,0,not stereotype
s_1711,1,1,1,stereotype
s_3713,1,1,1,stereotype
s_2313,0,0,0,not stereotype
s_1545,1,1,1,stereotype
s_3952,1,1,1,stereotype
s_3031,0,0,0,not stereotype
s_334,0,0,0,not stereotype
s_992,0,0,0,not stereotype
s_637,1,1,0,not stereotype
s_383,1,1,1,stereotype
s_2352,0,0,0,not stereotype
s_1491,0,0,0,not stereotype
s_1605,0,0,0,not stereotype
s_592,1,1,1,stereotype
s_2009,0,0,0,not stereotype
s_1366,0,0,0,not stereotype
s_473,0,0,0,not stereotype
s_1855,0,0,0,not stereotype
s_813,1,1,1,stereotype
s_3837,0,0,0,not stereotype
s_2649,0,0,0,not stereotype
s_2666,0,0,0,not stereotype
s_3642,0,0,0,not stereotype
s_4029,1,1,1,stereotype
s_3139,0,0,0,not stereotype
s_2248,0,0,0,not stereotype
s_4167,0,0,0,not stereotype
s_1617,0,0,0,not stereotype
s_3641,0,0,1,stereotype
s_2950,0,0,0,not stereotype
s_2072,0,0,0,not stereotype
s_1963,0,0,0,not stereotype
s_354,1,1,1,stereotype
s_3869,1,1,0,not stereotype
s_4142,0,0,0,not stereotype
s_631,0,0,0,not stereotype
s_1847,0,0,0,not stereotype
s_519,1,1,1,stereotype
s_4079,1,1,1,stereotype
s_2421,0,0,0,not stereotype
s_3578,0,0,0,not stereotype
s_1823,0,0,0,not stereotype
s_1320,1,1,1,stereotype
s_3152,0,0,0,not stereotype
s_777,0,0,0,not stereotype
s_3458,0,0,0,not stereotype
s_269,1,1,1,stereotype
s_4045,0,0,1,stereotype
s_566,0,0,0,not stereotype
s_4247,1,1,1,stereotype
s_978,0,0,0,not stereotype
s_1349,1,1,0,not stereotype
s_1646,1,1,1,stereotype
s_642,1,1,1,stereotype
s_1184,0,0,0,not stereotype
s_819,1,1,1,stereotype
s_205,0,0,0,not stereotype
s_3170,0,0,0,not stereotype
s_2028,0,0,0,not stereotype
s_1547,1,1,1,stereotype
s_2472,0,0,0,not stereotype
s_1865,0,0,0,not stereotype
s_2189,0,0,0,not stereotype
s_565,0,0,0,not stereotype
s_2631,0,0,0,not stereotype
s_2602,0,0,0,not stereotype
s_3823,0,0,0,not stereotype
s_284,0,0,0,not stereotype
s_3095,0,0,0,not stereotype
s_811,1,1,1,stereotype
s_1451,1,1,1,stereotype
s_3614,0,0,0,not stereotype
s_2140,0,0,0,not stereotype
s_1787,0,0,0,not stereotype
s_221,0,0,0,not stereotype
s_753,0,0,0,not stereotype
s_107,0,0,0,not stereotype
s_2728,0,0,0,not stereotype
s_860,0,0,1,stereotype
s_1628,0,0,0,not stereotype
s_3390,1,1,1,stereotype
s_2024,0,0,0,not stereotype
s_536,1,1,1,stereotype
s_251,1,1,1,stereotype
s_361,1,1,1,stereotype
s_1143,1,1,1,stereotype
s_2345,1,1,1,stereotype
s_4209,1,1,1,stereotype
s_3243,0,0,0,not stereotype
s_3364,0,0,0,not stereotype
s_3631,0,0,0,not stereotype
s_1873,0,0,0,not stereotype
s_2305,0,0,0,not stereotype
s_3081,0,0,0,not stereotype
s_4074,0,0,0,not stereotype
s_3811,1,1,1,stereotype
s_1599,0,0,0,not stereotype
s_2778,0,0,0,not stereotype
s_3351,0,0,0,not stereotype
s_1516,0,0,0,not stereotype
s_2172,0,0,0,not stereotype
s_3454,0,0,0,not stereotype
s_4177,1,1,1,stereotype
s_739,1,1,1,stereotype
s_2524,0,0,0,not stereotype
s_3186,0,0,0,not stereotype
s_4220,1,1,0,not stereotype
s_1756,0,0,0,not stereotype
s_590,1,1,1,stereotype
s_3035,0,0,0,not stereotype
s_1548,0,0,0,not stereotype
s_1907,0,0,0,not stereotype
s_1284,0,0,0,not stereotype
s_2005,0,0,0,not stereotype
s_2551,0,0,0,not stereotype
s_2668,0,0,0,not stereotype
s_3612,0,0,0,not stereotype
s_1727,1,1,1,stereotype
s_1845,0,0,0,not stereotype
s_2692,0,0,0,not stereotype
s_945,1,1,1,stereotype
s_230,0,0,0,not stereotype
s_3791,1,1,1,stereotype
s_3060,0,0,0,not stereotype
s_2711,0,0,0,not stereotype
s_478,0,0,0,not stereotype
s_3725,0,0,0,not stereotype
s_3024,0,0,0,not stereotype
s_802,1,1,1,stereotype
s_1540,0,0,0,not stereotype
s_2945,0,0,0,not stereotype
s_3752,0,0,0,not stereotype
s_1748,0,0,0,not stereotype
s_2769,0,0,0,not stereotype
s_1849,0,0,0,not stereotype
s_1415,0,0,0,not stereotype
s_1113,1,1,0,not stereotype
s_3934,0,0,0,not stereotype
s_967,0,0,0,not stereotype
s_2353,0,0,0,not stereotype
s_2420,0,0,0,not stereotype
s_4211,0,0,0,not stereotype
s_1059,1,1,1,stereotype
s_1344,1,1,1,stereotype
s_132,1,1,1,stereotype
s_3320,0,0,0,not stereotype
s_149,0,0,0,not stereotype
s_3943,1,1,1,stereotype
s_3358,0,0,0,not stereotype
s_1903,0,0,0,not stereotype
s_990,0,0,0,not stereotype
s_1886,0,0,0,not stereotype
s_152,0,0,0,not stereotype
s_2043,0,0,0,not stereotype
s_2871,0,0,0,not stereotype
s_1207,0,0,0,not stereotype
s_32,0,0,0,not stereotype
s_1449,1,1,1,stereotype
s_267,1,1,1,stereotype
s_2105,0,0,0,not stereotype
s_2716,0,0,0,not stereotype
s_435,1,1,1,stereotype
s_2473,0,0,0,not stereotype
s_1773,0,0,0,not stereotype
s_697,0,0,0,not stereotype
s_1837,0,0,0,not stereotype
s_1397,0,0,0,not stereotype
s_1301,0,0,1,stereotype
s_2129,0,0,0,not stereotype
s_356,1,1,1,stereotype
s_1684,1,1,1,stereotype
s_347,0,0,0,not stereotype
s_2247,0,0,0,not stereotype
s_33,0,0,0,not stereotype
s_782,1,1,1,stereotype
s_3897,0,0,0,not stereotype
s_3582,0,0,0,not stereotype
s_578,0,0,0,not stereotype
s_1188,0,0,0,not stereotype
s_1317,0,0,0,not stereotype
s_1735,0,0,1,stereotype
s_2690,0,0,0,not stereotype
s_254,1,1,0,not stereotype
s_2948,0,0,0,not stereotype
s_1652,0,0,0,not stereotype
s_2517,0,0,0,not stereotype
s_2142,0,0,0,not stereotype
s_3529,0,0,0,not stereotype
s_382,1,1,1,stereotype
s_4123,1,1,1,stereotype
s_3091,0,0,0,not stereotype
s_3711,1,1,0,not stereotype
s_778,0,0,0,not stereotype
s_187,1,1,1,stereotype
s_2495,0,0,0,not stereotype
s_2507,0,0,0,not stereotype
